ref,Partname,X,Y,R,size_x,size_y,top,bot,left,right
BS4210,AT07-102436,222.4812,25.1983,0,2.760,2.760,0,1,0,1
BS4212,AT07-102436,66.0789,18.4108,90,2.760,2.760,0,1,0,1
BS4213,AT07-102436,108.0498,23.3309,180,0.6,0.3,0,0,0,1
BS4214,AT07-102436,129.142,23.253,270,0.6,0.3,0,0,0,1
BS4215,AT07-102436,147.9836,26.2706,180,0.6,0.3,0,0,0,1
BS4216,AT07-102436,162.8393,23.4914,180,0.6,0.3,0,0,0,1
BS4219,AT07-102436,236.5385,15.0573,0,0.6,0.3,0,0,0,1
BS4220,AT07-102436,57.336,28.0879,180,0.6,0.3,1,0,1,0
BS4221,AT07-102436,50.9236,17.9475,180,0.6,0.3,1,0,1,0
C04A0,2203-010573,223.5964,20.5949,180,0.6,0.3,1,0,1,0
C04A1,AT07-102318,231.3334,14.1909,270,0.6,0.3,1,0,1,0
C04A2,AT07-102318,231.4974,23.1609,90,0.6,0.3,1,0,1,0
C04A3,AT07-102318,222.3564,19.4329,180,0.6,0.3,1,0,1,0
C04A4,2203-010573,229.5234,15.5279,270,0.6,0.3,1,0,1,0
C04A5,2203-010573,230.8574,22.9309,90,0.6,0.3,1,0,1,0
C04A6,AT07-102318,222.3564,21.0829,180,0.6,0.3,1,0,1,0
C04A7,AT07-102318,233.2334,14.1909,270,0.6,0.3,1,0,1,0
C04A8,2203-010550,223.5964,20.0649,180,0.6,0.3,1,0,1,0
C04A9,2203-010550,230.4334,15.5279,270,0.6,0.3,1,0,1,0
C07A0,2203-010555,160.5289,29.4677,90,0.6,0.3,1,0,1,0
C07A1,2203-010555,152.8859,30.3327,90,0.6,0.3,1,0,1,0
C07A2,2203-010555,160.5289,26.6977,270,0.6,0.3,1,0,1,0
C07A3,2203-010555,159.7039,29.4677,90,0.6,0.3,1,0,1,0
C07A4,2203-010555,152.8859,27.5627,270,0.6,0.3,1,0,1,0
C07A5,2203-010555,152.0609,27.5627,270,0.6,0.3,1,0,1,0
C07A6,2203-010555,152.0609,26.1777,270,0.6,0.3,1,0,1,0
C07A7,2203-010555,152.8859,26.1777,270,0.6,0.3,1,0,1,0
C09A0,AT07-102280,239.4331,23.9503,180,0.6,0.3,1,0,1,0
C09A1,AT07-102315,237.458,23.967,0,0.6,0.3,1,0,1,0
C09A2,AT07-102321,236.4041,22.5558,90,0.6,0.3,1,0,1,0
C09A3,AT07-102321,237.5191,23.1243,0,0.6,0.3,1,0,1,0
C09A4,AT07-102321,237.5091,22.2843,0,0.6,0.3,1,0,1,0
C09A5,AT07-102321,240.4484,18.336,180,0.6,0.3,1,0,1,0
C09A6,AT07-102321,240.9934,17.231,270,0.6,0.3,1,0,1,0
C09A7,AT07-102321,240.1684,17.231,270,0.6,0.3,1,0,1,0
C09A8,AT07-102280,239.4331,22.8253,180,0.6,0.3,1,0,1,0
C09A9,AT07-102280,239.4331,21.7003,180,0.6,0.3,1,0,1,0
C09B0,AT07-102345,238.7046,20.4303,270,0.6,0.3,1,0,1,0
C11C4,AT07-102203,123.709,18.447,180,0.6,0.3,1,0,1,0
C11C5,AT07-102203,123.937,27.175,180,0.6,0.3,1,0,1,0
C11C6,AT07-102253,128.939,25.322,0,0.6,0.3,1,0,1,0
C11D9,AT07-102321,112.3465,23.167,270,0.6,0.3,1,0,1,0
C11E3,AT07-102321,113.1715,23.167,270,0.6,0.3,1,0,1,0
C11E4,AT07-102321,111.5215,23.167,270,0.6,0.3,1,0,1,0
C12D2,2203-010555,120.6863,15.3345,0,0.6,0.3,1,0,1,0
C12D3,2203-010555,120.3813,17.4645,270,0.6,0.3,1,0,1,0
C12D4,2203-010555,122.0713,15.3345,0,0.6,0.3,1,0,1,0
C12D5,2203-010555,121.3063,17.4645,270,0.6,0.3,1,0,1,0
C12D6,2203-010555,122.0713,16.1595,0,0.6,0.3,1,0,1,0
C12D7,2203-010555,122.0713,14.5095,0,0.6,0.3,1,0,1,0
C12D8,2203-010555,122.2313,17.4645,270,0.6,0.3,1,0,1,0
C12D9,2203-010555,123.4563,16.1595,0,0.6,0.3,1,0,1,0
C12E0,2203-010555,123.4563,14.5095,0,0.6,0.3,1,0,1,0
C12E1,2203-010555,123.4563,15.3345,0,0.6,0.3,1,0,1,0
C12E2,2203-010555,125.3227,28.8764,0,0.6,0.3,1,0,1,0
C12E3,2203-010555,124.215,28.237,90,0.6,0.3,1,0,1,0
C12E4,2203-010555,118.977,29.109,180,0.6,0.3,1,0,1,0
C12E5,2203-010555,125.3227,28.0428,0,0.6,0.3,1,0,1,0
C12E6,2203-010555,120.112,29.7817,90,0.6,0.3,1,0,1,0
C12F2,2203-010555,125.8715,19.2011,270,0.6,0.3,1,0,1,0
C12F3,2203-010555,126.6965,19.2011,270,0.6,0.3,1,0,1,0
C12G6,AT07-102321,129.358,17.677,270,0.6,0.3,1,0,1,0
C12G7,2203-010555,127.5215,19.2011,270,0.6,0.3,1,0,1,0
C12G8,2203-010555,125.0465,19.2011,270,0.6,0.3,1,0,1,0
C12G9,2203-010555,129.1715,19.2011,270,0.6,0.3,1,0,1,0
C12H0,2203-010555,128.3465,19.2011,270,0.6,0.3,1,0,1,0
C12H1,2203-010555,125.8715,20.6861,90,0.6,0.3,1,0,1,0
C12H2,2203-010555,125.0465,20.6861,90,0.6,0.3,1,0,1,0
C12H3,2203-010555,127.5215,20.6861,90,0.6,0.3,1,0,1,0
C12H4,2203-010555,126.6965,20.6861,90,0.6,0.3,1,0,1,0
C12H5,AT07-102321,129.702,28.795,0,0.6,0.3,1,0,1,0
C12H6,2203-010555,125.8715,26.847,90,0.6,0.3,1,0,1,0
C12H7,2203-010555,125.8715,25.462,270,0.6,0.3,1,0,1,0
C12H8,2203-010555,125.0465,26.847,90,0.6,0.3,1,0,1,0
C12H9,2203-010555,127.5215,25.462,270,0.6,0.3,1,0,1,0
C12I0,2203-010555,125.0465,25.462,270,0.6,0.3,1,0,1,0
C12I1,2203-010555,126.6965,25.462,270,0.6,0.3,1,0,1,0
C12I6,AT07-102321,115.084,21.782,270,0.6,0.3,1,0,1,0
C12I8,2203-010555,112.099,17.517,180,0.6,0.3,1,0,1,0
C12I9,2203-010555,115.084,20.397,90,0.6,0.3,1,0,1,0
C12J0,2203-010555,114.259,21.782,270,0.6,0.3,1,0,1,0
C12J1,2203-010555,112.099,18.342,180,0.6,0.3,1,0,1,0
C12J2,AT07-102321,127.89,15.387,180,0.6,0.3,1,0,1,0
C12J4,2203-010555,111.169,13.927,270,0.6,0.3,1,0,1,0
C12J5,2203-010555,115.909,17.627,90,0.6,0.3,1,0,1,0
C12J6,2203-010555,111.599,15.862,180,0.6,0.3,1,0,1,0
C12J7,2203-010555,114.259,17.627,90,0.6,0.3,1,0,1,0
C12J8,2203-010555,111.994,13.927,270,0.6,0.3,1,0,1,0
C12J9,2203-010555,117.8413,16.9845,180,0.6,0.3,1,0,1,0
C12K0,2203-010555,111.589,15.037,180,0.6,0.3,1,0,1,0
C12K1,2203-010555,115.084,15.992,270,0.6,0.3,1,0,1,0
C12K2,2203-010555,112.819,13.927,270,0.6,0.3,1,0,1,0
C12K3,2203-010555,113.434,17.627,90,0.6,0.3,1,0,1,0
C12K4,AT07-102321,130.183,17.677,270,0.6,0.3,1,0,1,0
C12K6,2203-010555,114.2615,26.467,270,0.6,0.3,1,0,1,0
C12K7,2203-010555,115.0865,27.852,90,0.6,0.3,1,0,1,0
C12K8,2203-010555,115.0865,26.467,270,0.6,0.3,1,0,1,0
C12K9,2203-010555,110.938,27.84,180,0.6,0.3,1,0,1,0
C12L0,2203-010555,110.938,27.015,180,0.6,0.3,1,0,1,0
C12L1,2203-010555,115.9115,26.467,270,0.6,0.3,1,0,1,0
C12L2,2203-010555,116.326,30.348,270,0.6,0.3,1,0,1,0
C12L3,2203-010555,117.539,29.107,180,0.6,0.3,1,0,1,0
C12L4,2203-010555,110.938,28.665,180,0.6,0.3,1,0,1,0
C12L5,2203-010555,110.938,30.315,180,0.6,0.3,1,0,1,0
C12L6,2203-010555,115.9115,27.852,90,0.6,0.3,1,0,1,0
C12L7,2203-010555,117.151,30.348,270,0.6,0.3,1,0,1,0
C12L8,2203-010555,118.801,30.348,270,0.6,0.3,1,0,1,0
C12L9,2203-010555,117.976,30.348,270,0.6,0.3,1,0,1,0
C12M0,2203-010555,128.3465,20.6861,90,0.6,0.3,1,0,1,0
C12M1,2203-010555,129.1715,20.6861,90,0.6,0.3,1,0,1,0
C12M4,2203-010555,114.259,19.012,270,0.6,0.3,1,0,1,0
C12M6,2203-010555,117.8413,16.1595,180,0.6,0.3,1,0,1,0
C12M7,2203-010555,119.2763,15.3345,0,0.6,0.3,1,0,1,0
C12M8,2203-010555,119.2763,16.9845,0,0.6,0.3,1,0,1,0
C12M9,2203-010555,119.2763,16.1595,0,0.6,0.3,1,0,1,0
C12N0,2203-010555,112.099,16.692,180,0.6,0.3,1,0,1,0
C12N1,2203-010555,127.722,30.5627,0,0.6,0.3,1,0,1,0
C12N2,2203-010555,124.9052,30.646,0,0.6,0.3,1,0,1,0
C12N3,2203-010555,124.9052,29.821,0,0.6,0.3,1,0,1,0
C12N4,2203-010555,126.295,30.5627,0,0.6,0.3,1,0,1,0
C12N6,2203-010555,125.2965,21.887,0,0.6,0.3,1,0,1,0
C12N7,2203-010555,126.6815,21.887,180,0.6,0.3,1,0,1,0
C12N8,2203-010555,125.2965,22.712,0,0.6,0.3,1,0,1,0
C12N9,2203-010555,126.6815,22.712,180,0.6,0.3,1,0,1,0
C12O0,2203-010555,125.2965,23.537,0,0.6,0.3,1,0,1,0
C12O1,2203-010555,126.6815,23.537,180,0.6,0.3,1,0,1,0
C12O2,2203-010555,115.6615,22.887,180,0.6,0.3,1,0,1,0
C12O3,2203-010555,114.2765,22.887,0,0.6,0.3,1,0,1,0
C12O4,2203-010555,114.2765,23.712,0,0.6,0.3,1,0,1,0
C12O5,2203-010555,115.6615,23.712,180,0.6,0.3,1,0,1,0
C12O6,2203-010555,115.6615,24.537,180,0.6,0.3,1,0,1,0
C12O7,2203-010555,114.2765,24.537,0,0.6,0.3,1,0,1,0
C12O8,2203-010555,114.2765,25.362,0,0.6,0.3,1,0,1,0
C12O9,2203-010555,115.6615,25.362,180,0.6,0.3,1,0,1,0
C12P4,2203-010555,121.2262,30.5787,0,0.6,0.3,1,0,1,0
C12P5,2203-010555,121.2262,29.7537,0,0.6,0.3,1,0,1,0
C12P6,2203-010555,121.069,28.613,90,0.6,0.3,1,0,1,0
C12P7,2203-010555,121.894,28.5987,90,0.6,0.3,1,0,1,0
C12P8,2203-010555,120.6863,16.1595,0,0.6,0.3,1,0,1,0
C12P9,2203-010555,120.6863,14.5095,0,0.6,0.3,1,0,1,0
C12Q0,2203-010555,112.099,19.167,180,0.6,0.3,1,0,1,0
C12Q1,2203-010555,113.434,20.397,90,0.6,0.3,1,0,1,0
C12Q2,2203-010555,115.909,19.012,270,0.6,0.3,1,0,1,0
C12Q3,2203-010555,113.434,19.012,270,0.6,0.3,1,0,1,0
C12Q4,2203-010555,115.084,19.012,270,0.6,0.3,1,0,1,0
C12Q5,2203-010555,114.259,20.397,90,0.6,0.3,1,0,1,0
C12Q6,2203-010555,115.909,20.397,90,0.6,0.3,1,0,1,0
C12Q7,2203-010555,115.084,17.627,90,0.6,0.3,1,0,1,0
C12Q8,2203-010555,113.434,15.992,270,0.6,0.3,1,0,1,0
C12Q9,2203-010555,115.909,15.992,270,0.6,0.3,1,0,1,0
C12R0,2203-010555,116.734,17.627,90,0.6,0.3,1,0,1,0
C12R1,2203-010555,116.734,15.992,270,0.6,0.3,1,0,1,0
C12R2,2203-010555,110.938,29.49,180,0.6,0.3,1,0,1,0
C12R3,2203-010555,112.3315,30.332,180,0.6,0.3,1,0,1,0
C12R4,2203-010555,110.938,26.19,180,0.6,0.3,1,0,1,0
C12R5,2203-010555,113.4365,26.467,270,0.6,0.3,1,0,1,0
C12R6,2203-010555,113.4365,27.852,90,0.6,0.3,1,0,1,0
C12R7,2203-010555,112.3315,27.032,180,0.6,0.3,1,0,1,0
C12R8,2203-010555,112.3315,26.207,180,0.6,0.3,1,0,1,0
C12R9,2203-010555,114.2615,27.852,90,0.6,0.3,1,0,1,0
C12S0,2203-010555,112.3315,28.682,180,0.6,0.3,1,0,1,0
C12S1,2203-010555,112.3315,27.857,180,0.6,0.3,1,0,1,0
C12S2,2203-010555,117.8413,14.5095,180,0.6,0.3,1,0,1,0
C12S3,2203-010555,119.2763,17.8095,0,0.6,0.3,1,0,1,0
C12S5,AT07-102321,115.909,21.782,270,0.6,0.3,1,0,1,0
C12S6,AT07-102321,117.539,27.457,180,0.6,0.3,1,0,1,0
C12S7,AT07-102284,116.8065,22.3415,90,0.6,0.3,1,0,1,0
C12S8,AT07-102284,122.979,19.5295,180,0.6,0.3,1,0,1,0
C12S9,AT07-102284,122.939,26.555,180,0.6,0.3,1,0,1,0
C12T0,AT07-102284,117.829,19.5295,0,0.6,0.3,1,0,1,0
C12T1,AT07-102284,117.829,26.5645,0,0.6,0.3,1,0,1,0
C12U0,AT07-102325,124.1215,20.917,270,0.6,0.3,1,0,1,0
C12U1,AT07-102325,124.1215,25.147,90,0.6,0.3,1,0,1,0
C12U2,AT07-102325,116.8065,21.3165,270,0.6,0.3,1,0,1,0
C12U3,AT07-102325,116.8065,23.297,270,0.6,0.3,1,0,1,0
C12U7,AT07-102321,117.539,28.282,180,0.6,0.3,1,0,1,0
C12V0,2203-010567,119.041,32.239,0,0.6,0.3,1,0,1,0
C13A1,2203-010567,136.157,17.199,180,0.6,0.3,1,0,1,0
C16D7,2203-010557,105.271,28.201,0,0.6,0.3,1,0,1,0
C16E5,2203-010557,104.281,20.63,0,0.6,0.3,1,0,1,0
C16E6,2203-010557,104.291,25.67,0,0.6,0.3,1,0,1,0
C16E7,2203-010557,106.731,20.63,0,0.6,0.3,1,0,1,0
C16E8,2203-010557,102.387,23.888,270,0.6,0.3,1,0,1,0
C16E9,2203-010557,101.841,21.92,180,0.6,0.3,1,0,1,0
C16F3,AT07-102255,98.299,25.1875,0,0.6,0.3,1,0,1,0
C16F4,2203-010557,104.291,23.17,0,0.6,0.3,1,0,1,0
C16F5,AT07-101533,100.736,25.38,0,0.6,0.3,1,0,1,0
C16F6,AT07-102336,100.8326,24.11,270,0.6,0.3,1,0,1,0
C16F7,AT07-102321,98.071,24.0897,180,0.6,0.3,1,0,1,0
C16F8,2203-010551,98.279,22.6425,180,0.6,0.3,1,0,1,0
C16F9,AT07-102342,99.4515,22.95,270,0.6,0.3,1,0,1,0
C16G5,AT07-102321,103.341,28.724,0,0.6,0.3,1,0,1,0
C16G6,AT07-102321,99.581,26.565,0,0.6,0.3,1,0,1,0
C16G7,AT07-102321,103.341,27.864,0,0.6,0.3,1,0,1,0
C16G8,AT07-102321,99.581,25.74,0,0.6,0.3,1,0,1,0
C16G9,AT07-102340,97.901,28.203,90,0.6,0.3,1,0,1,0
C16H0,AT07-102340,95.924,23.94,270,0.6,0.3,1,0,1,0
C29V1,AT07-102326,246.1488,19.2609,180,0.6,0.3,1,0,1,0
C29V2,AT07-102335,247.4688,19.4809,180,0.6,0.3,1,0,1,0
C29V3,AT07-102326,249.1638,21.4459,0,0.6,0.3,1,0,1,0
C29V4,AT07-102335,246.4488,20.4009,270,0.6,0.3,1,0,1,0
C29V5,AT07-102335,248.3088,18.4009,0,0.6,0.3,1,0,1,0
C30E1,2203-010567,136.6626,26.8127,270,0.6,0.3,1,0,1,0
C0466,2203-010551,223.5964,21.1249,180,0.6,0.3,1,0,1,0
C0467,2203-010573,223.5964,18.9899,180,0.6,0.3,1,0,1,0
C0468,2203-010573,230.4024,22.9309,90,0.6,0.3,1,0,1,0
C0469,AT07-102318,222.3564,21.9329,180,0.6,0.3,1,0,1,0
C0484,2203-010573,229.0684,15.5279,270,0.6,0.3,1,0,1,0
C0485,2203-010573,231.3434,15.5279,270,0.6,0.3,1,0,1,0
C0486,AT07-102342,222.2664,18.0479,180,0.6,0.3,1,0,1,0
C0487,AT07-102342,222.2664,15.3159,0,0.6,0.3,1,0,1,0
C0488,2203-010573,223.5964,18.4599,180,0.6,0.3,1,0,1,0
C0489,2203-010565,223.5364,22.1079,90,0.6,0.3,1,0,1,0
C0490,2203-010551,229.9474,22.9309,90,0.6,0.3,1,0,1,0
C0491,2203-010551,229.9784,15.5279,270,0.6,0.3,1,0,1,0
C0492,2203-010551,230.8884,15.5279,270,0.6,0.3,1,0,1,0
C0493,2203-010551,223.5964,19.5199,180,0.6,0.3,1,0,1,0
C0494,2203-010573,227.2174,22.9309,90,0.6,0.3,1,0,1,0
C0495,AT07-102203,226.5297,23.1609,90,0.6,0.3,1,0,1,0
C0496,AT07-102318,227.4114,14.1979,270,0.6,0.3,1,0,1,0
C0497,2203-010565,228.2364,14.1909,270,0.6,0.3,1,0,1,0
C0498,AT07-102203,229.0354,14.1909,270,0.6,0.3,1,0,1,0
C0499,AT07-102318,232.2834,14.1909,270,0.6,0.3,1,0,1,0
C0592,AT07-102318,224.955,24.287,0,0.6,0.3,1,0,1,0
C0593,2203-010551,224.397,23.31,270,0.6,0.3,1,0,1,0
C0594,2203-010573,224.852,23.319,270,0.6,0.3,1,0,1,0
C0601,2203-010573,230.8813,30.2439,180,0.6,0.3,1,0,1,0
C0692,2203-010573,234.1343,29.3593,0,0.6,0.3,1,0,1,0
C0703,AT07-102318,152.8859,24.7927,270,0.6,0.3,1,0,1,0
C0704,AT07-102318,152.0609,24.7927,270,0.6,0.3,1,0,1,0
C0709,2203-010552,153.7268,28.6547,270,0.6,0.3,1,0,1,0
C0710,2203-010552,158.863,27.8597,90,0.6,0.3,1,0,1,0
C0711,2203-010552,158.863,28.7847,90,0.6,0.3,1,0,1,0
C0713,2203-010552,158.863,26.9347,270,0.6,0.3,1,0,1,0
C0730,2203-010552,153.7268,25.585,270,0.6,0.3,1,0,1,0
C0733,2203-010552,158.863,26.005,270,0.6,0.3,1,0,1,0
C0736,2203-010552,153.7268,29.943,90,0.6,0.3,1,0,1,0
C0739,2203-010552,153.7268,27.7297,270,0.6,0.3,1,0,1,0
C0742,2203-010552,153.7268,26.51,270,0.6,0.3,1,0,1,0
C0792,2203-010555,159.7039,25.3127,270,0.6,0.3,1,0,1,0
C0793,2203-010555,160.5289,25.3127,270,0.6,0.3,1,0,1,0
C0794,2203-010555,152.8859,28.9477,270,0.6,0.3,1,0,1,0
C0795,2203-010555,159.7039,28.0827,90,0.6,0.3,1,0,1,0
C0796,2203-010555,152.0609,30.3327,90,0.6,0.3,1,0,1,0
C0797,2203-010555,152.0609,28.9477,270,0.6,0.3,1,0,1,0
C0798,2203-010555,160.5289,28.0827,90,0.6,0.3,1,0,1,0
C0799,2203-010555,159.7039,26.6977,270,0.6,0.3,1,0,1,0
C0903,AT07-101982,237.5519,17.4039,270,0.6,0.3,1,0,1,0
C0992,AT07-102280,241.7737,14.515,270,0.6,0.3,1,0,1,0
C0993,AT07-102280,242.8987,14.515,270,0.6,0.3,1,0,1,0
C0994,AT07-102280,239.5237,14.515,270,0.6,0.3,1,0,1,0
C0995,AT07-102280,240.6487,14.515,270,0.6,0.3,1,0,1,0
C0996,AT07-102315,242.3309,18.5699,0,0.6,0.3,1,0,1,0
C0997,AT07-102207,238.5019,15.9839,180,0.6,0.3,1,0,1,0
C0998,AT07-102345,239.659,16.139,0,0.6,0.3,1,0,1,0
C0999,AT07-101982,236.6076,19.9743,180,0.6,0.3,1,0,1,0
C1153,AT07-102321,117.8413,17.8095,180,0.6,0.3,1,0,1,0
C1154,AT07-102321,111.5215,25.007,90,0.6,0.3,1,0,1,0
C1155,AT07-102321,113.1715,25.007,90,0.6,0.3,1,0,1,0
C1156,AT07-102321,112.3465,25.007,90,0.6,0.3,1,0,1,0
C1159,2203-010555,129.594,25.992,0,0.6,0.3,1,0,1,0
C1161,2203-010565,119.569,27.857,90,0.6,0.3,1,0,1,0
C1162,AT07-102321,117.8413,18.6345,180,0.6,0.3,1,0,1,0
C1163,AT07-102321,123.819,17.337,90,0.6,0.3,1,0,1,0
C1164,AT07-102321,124.899,15.3345,180,0.6,0.3,1,0,1,0
C1165,AT07-102340,127.382,13.947,180,0.6,0.3,1,0,1,0
C1166,AT07-102340,130.138,14.75,90,0.6,0.3,1,0,1,0
C1167,AT07-102284,123.523,28.002,270,0.6,0.3,1,0,1,0
C1214,2203-010567,127.785,27.392,0,0.6,0.3,1,0,1,0
C1300,AT07-102319,139.108,17.0375,0,0.6,0.3,1,0,1,0
C1310,2203-010557,148.388,18.009,270,0.6,0.3,1,0,1,0
C1311,2203-010557,142.418,23.974,180,0.6,0.3,1,0,1,0
C1312,2203-010557,142.418,14.444,180,0.6,0.3,1,0,1,0
C1313,2203-010557,145.168,21.374,0,0.6,0.3,1,0,1,0
C1314,AT07-101911,148.018,22.0556,90,0.6,0.3,1,0,1,0
C1316,2203-010557,151.758,21.259,0,0.6,0.3,1,0,1,0
C1317,2203-010557,151.758,17.509,0,0.6,0.3,1,0,1,0
C1318,AT07-101911,148.958,15.134,180,0.6,0.3,1,0,1,0
C1319,AT05-102650,142.708,19.209,180,0.6,0.3,1,0,1,0
C1320,AT07-102337,134.718,24.004,270,0.6,0.3,1,0,1,0
C1321,AT07-102337,136.505,13.8425,180,0.6,0.3,1,0,1,0
C1322,AT07-102337,138.895,14.9775,0,0.6,0.3,1,0,1,0
C1323,AT07-102337,138.895,13.8425,0,0.6,0.3,1,0,1,0
C1324,AT07-102337,138.895,16.1125,0,0.6,0.3,1,0,1,0
C1325,AT07-102337,138.895,23.5405,0,0.6,0.3,1,0,1,0
C1326,AT07-102337,138.895,22.4055,0,0.6,0.3,1,0,1,0
C1327,AT07-102337,136.505,23.5455,180,0.6,0.3,1,0,1,0
C1328,AT07-102337,136.505,14.9775,180,0.6,0.3,1,0,1,0
C1329,AT07-102337,134.688,14.184,90,0.6,0.3,1,0,1,0
